name,RMSE,MAE,SSIM
Trace corrupted,7.4056525,7.2980356,0.942682825338602
Trace Gaussian denoised,7.619314,7.3763084,0.9108677168918848
Trace Median denoised,7.407072,7.2964764,0.9395911878884434
Trace TV denoised,7.4878736,7.2676225,0.9156568981907368
Trace Wavelet denoised,7.405632,7.298013,0.9426648397445977
Retrace corrupted,7.40277,7.3091674,0.9457305094363689
Retrace Gaussian denoised,7.6364884,7.4066415,0.914149958874464
Retrace Median denoised,7.4028993,7.3069077,0.9426895160162448
Retrace TV denoised,7.526278,7.316117,0.9170646419138908
Retrace Wavelet denoised,7.4027534,7.3091516,0.9457125610332489
